,Tweets,polarity
49,"RT @DylanOnChips: My take on @intel's earnings:

Intel says costly 10nm ramp will counter PC slowdown https://t.co/51HLquyqUo #intel $intcâ€¦","{'neg': 0.072, 'neu': 0.928, 'pos': 0.0, 'compound': -0.1027}"
50,"RT @hirokinv: Intelã¯æœ¬å½“ã«EUVéœ²å…‰è£…ç½®ã‚’æº€è¶³ã«æ‰‹ã«å…¥ã‚Œã‚‰ã‚Œãªã„ã®ã‹ã€‚
Intelã«ã¯ç¾åœ¨ã€EUVéœ²å…‰è£…ç½®ã‚’å—ã‘å–ã‚‹ãŸã‚ã®åˆ—ã®ä¸€ç•ªæœ€å¾Œã«ã„ã‚‹ãŸã‚ã«ååˆ†ãªæ•°ã®è£…ç½®ã‚’ç¢ºä¿ã§ããªã„ã¨ã„ã†æ†¶æ¸¬ãŒé£›ã³äº¤ã£ã¦ã„ã‚‹ã€‚

$INTC - Intel: EUV Misinfoâ€¦","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
51,$INTC Look! I got this 100% Profitability across 7  trades in 1 month. Current rating is Bearish. Now I will wait fâ€¦ https://t.co/K1M75GbfXP,"{'neg': 0.0, 'neu': 0.883, 'pos': 0.117, 'compound': 0.3382}"
52,"RT @1000_trading: #RealizedRecap ğŸ“š ğŸ› 

$VIVK $INTC $RDBX ğŸ§€ 

$SWVL $NKTX $HOUR ğŸ¤

$HUSA $ERYP $AMZN ğŸ”»

#BuytheDip ğŸ¦‹ https://t.co/jghZosqWAT","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
53,"RT @1000_trading: #RealizedRecap ğŸ“š ğŸ› 

$VIVK $INTC $RDBX ğŸ§€ 

$SWVL $NKTX $HOUR ğŸ¤

$HUSA $ERYP $AMZN ğŸ”»

#BuytheDip ğŸ¦‹ https://t.co/jghZosqWAT","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
54,"#RealizedRecap ğŸ“š ğŸ› 

$VIVK $INTC $RDBX ğŸ§€ 

$SWVL $NKTX $HOUR ğŸ¤

$HUSA $ERYP $AMZN ğŸ”»

#BuytheDip ğŸ¦‹ https://t.co/jghZosqWAT","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
55,"$AMD $INTC NEW ARTICLE : AMD Well-Positioned to Continue Taking Market Share, Says Raymond Jamesâ€¦ https://t.co/yvFS1LDk7z","{'neg': 0.0, 'neu': 0.864, 'pos': 0.136, 'compound': 0.296}"
56,"~When I was novice I made a lot of mistakes then I came to know about this C0mmunity.,,.,https://t.co/UijPhsrts2â€¦ https://t.co/bimGIr8VMS","{'neg': 0.152, 'neu': 0.848, 'pos': 0.0, 'compound': -0.3612}"
57,SweepCast ğŸ¦ Unusual Options Observed : $INTC with our scanner on $55 CALL Expiring: 01/20/2023 worth 52KğŸ‚  Start Yoâ€¦ https://t.co/84XD2hJxWn,"{'neg': 0.0, 'neu': 0.899, 'pos': 0.101, 'compound': 0.2263}"
58,"ğŸ”–å…¨é¢çš„ã«â†˜ï¸ï¼ˆå¤§å‹ãƒ†ãƒƒã‚¯ã€åŠå°ä½“ã€ã‚¨ãƒãƒ«ã‚®ãƒ¼ï¼‰
$MSFT $GOOG $NFLX $NVDA $INTC $QCOM $CPE $CLR $KOS $FTI $NAT $DSX $MAR https://t.co/pifm9KgEha","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
59,"Intel's CEO is trying to set expectations as low as possible, as $INTC today closed at a 52-week low.â€¦ https://t.co/9PYSKvVGgh","{'neg': 0.104, 'neu': 0.896, 'pos': 0.0, 'compound': -0.2732}"
60,"âœ…ç±³å›½10å¹´å‚µåˆ©å›ã‚Š 2.938â†—ï¸
âœ…ãƒ‰ãƒ«/å†† 129.85
âœ…3æŒ‡æ•° â†˜ï¸ğŸŸ¥ ãƒ€ã‚¦-4.2% NAS-2.8%
âœ…åŸæ²¹WTI â†˜ï¸ å¤©ç„¶ã‚¬ã‚¹â†—ï¸
ğŸ”– $AMZN -14% $AAPL -3.7%
ğŸ”–å…¨é¢çš„ã«â†˜ï¸ï¼ˆå¤§å‹ãƒ†ãƒƒã‚¯ã€åŠâ€¦ https://t.co/5ZHdpHHbGu","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
61,Top Equity activity from Smart Money daily recap courtesy of the real-time dashboard from ğŸ”¥ https://t.co/7wgngQBiDbâ€¦ https://t.co/QOsZGXxzY8,"{'neg': 0.0, 'neu': 0.65, 'pos': 0.35, 'compound': 0.7184}"
62,"RT @bayarea489: I look forward to the next cycle, fresh powder on the sidelineâ€¦ $amd $nvda  $intc $mu $amat  $aapl $tsmc 

https://t.co/lHlâ€¦","{'neg': 0.0, 'neu': 0.897, 'pos': 0.103, 'compound': 0.3182}"
63,"Stocks with most active options trading today:

$AAPL - 1.826M
$TSLA - 1.126M
$AMZN - 496k
$FB - 445k
$BABA - 371kâ€¦ https://t.co/tKpofFBX0V","{'neg': 0.0, 'neu': 0.85, 'pos': 0.15, 'compound': 0.4576}"
64,these are the most active stocks right now $AAPL  $AMD  $F  $DIDI  $VICI  $NIO  $INTC https://t.co/WDPsEDTrrx,"{'neg': 0.0, 'neu': 0.834, 'pos': 0.166, 'compound': 0.4576}"
65,RT @NorthmanTrader: Yesterday's rally following $AAPL $AMZN &amp; $INTC https://t.co/x8DCLJwqHK,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
66,"RT @BrandonGurr: Updated 2022 Late Cycle Portfolio

Long
Industrials $LMT $NOC $RTX $GD $TXT $CAT $HON $BA $INTC*
Finance $JPM $DE $LAND $Fâ€¦","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
67,"Updated 2022 Late Cycle Portfolio

Long
Industrials $LMT $NOC $RTX $GD $TXT $CAT $HON $BA $INTC*
Finance $JPM $DEâ€¦ https://t.co/izLPcTBiwA","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
68,$SPY $QQQ $IWM $AMD $NVDA $AAPL $TSLA $MSFT $FB $NFLX $AMZN $MU $INTC $OXY $XOM https://t.co/jWHx5HHMgF,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
69,"â­ï¸4/30æœåˆŠâ‘£
$INTC   $CVX ã®æ±ºç®—ï¼
ã‚·ã‚§ãƒ–ãƒ­ãƒ³ã¯ä»–ã¨é•ã£ã¦å¢—ç”£é ‘å¼µã‚Šãã†â‰ï¸
ã€€ã‚¤ãƒ³ãƒ†ãƒ«ã®ã‚¬ã‚¤ãƒ€ãƒ³ã‚¹ã¯ä¸­å›½ãƒ­ãƒƒã‚¯ãƒ€ã‚¦ãƒ³ã®å½±éŸ¿ã‚ã‚Šã€‚ https://t.co/dA4RfZqxcf","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
70,"What You Missed On Wall Street This Morning 
$QCOM $WEN $SIRI $BIIB $DAL $UAL $TWTR $BAC $SYF $NATI $DIDI $TSLAâ€¦ https://t.co/VoX3mCsouV","{'neg': 0.099, 'neu': 0.901, 'pos': 0.0, 'compound': -0.296}"
71,"I look forward to the next cycle, fresh powder on the sidelineâ€¦ $amd $nvda  $intc $mu $amat  $aapl $tsmc 

https://t.co/lHl7y2wopy","{'neg': 0.0, 'neu': 0.887, 'pos': 0.113, 'compound': 0.3182}"
72,"~When I was novice I made a lot of mistakes then I came to know about this C0mmunity.,,.,https://t.co/UijPhsrts2â€¦ https://t.co/WHsmA7tCRB","{'neg': 0.152, 'neu': 0.848, 'pos': 0.0, 'compound': -0.3612}"
73,"This morning's Market Report just sent. Have a great weekend!
 
$SPY $SPX $DJIA $QQQ $IWM $VIX $AAPL $GOOG $XOMâ€¦ https://t.co/BwBmJwszYf","{'neg': 0.0, 'neu': 0.804, 'pos': 0.196, 'compound': 0.6588}"
74,RT @davidsettle42: 04/29/22 - View today's #MarketOutlook from @MarketScholars here: https://t.co/z3hZCFVRcm Discussed: $SPY $IWM $EEM $EFAâ€¦,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
75,Need Fast Computer? BAREBONES #Gaming SYSTEM MM9.24.744 Intel $INTC i9-11900K 11th Gen 64GB RAM RTX 3090â€¦ https://t.co/Jk8isxhj3b,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
76,"RT @StockmanDuck: Top tweeted stocks:
$AMZN $AAPL $TSLA $FB $NFLX $TWTR $HOOD $SPX $BABA $MSFT $TDOC $ES $ROKU $RIVN $NVDA $LNTH $F $AMD $Xâ€¦","{'neg': 0.0, 'neu': 0.927, 'pos': 0.073, 'compound': 0.2023}"
77,"RT @StockmanDuck: Top tweeted stocks:
$AMZN $AAPL $TSLA $FB $NFLX $TWTR $HOOD $SPX $BABA $MSFT $TDOC $ES $ROKU $RIVN $NVDA $LNTH $F $AMD $Xâ€¦","{'neg': 0.0, 'neu': 0.927, 'pos': 0.073, 'compound': 0.2023}"
78,04/29/22 - View today's #MarketOutlook from @MarketScholars here: https://t.co/z3hZCFVRcm Discussed: $SPY $IWM $EEMâ€¦ https://t.co/RkY5bKo3iz,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
79,[æ±ºç®—ã‚«ãƒ³ãƒ•ã‚¡ãƒ¬ãƒ³ã‚¹ã‚³ãƒ¼ãƒ«] $INTC Intel Corporation (NASDAQ:INTC) Q1 2022ï½œç±³æ ªé€Ÿå ±ãƒãƒ³ @SokuhouMan #note https://t.co/vkJp1SWqP2,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
80,"Top tweeted stocks:
$AMZN $AAPL $TSLA $FB $NFLX $TWTR $HOOD $SPX $BABA $MSFT $TDOC $ES $ROKU $RIVN $NVDA $LNTH $Fâ€¦ https://t.co/7jn4NxCoUs","{'neg': 0.0, 'neu': 0.917, 'pos': 0.083, 'compound': 0.2023}"
81,"$OST down 88% Thurs. &amp; 20% today. TINY FLOAT. SQUEEZE!

$AAPL $GOOG $INTC $AMZN $MSFT $AKAM $CMCSA $PFE $MU $NFLXâ€¦ https://t.co/IxqdXGHSlo","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
82,"RT @ARENAALFA: Antes de pandemia el NASDAQ estaba por los 9000 puntos

En Pandemia bajo a 6700

Hoy esta por los 12.300

Es que a pesar deâ€¦","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
83,[å››åŠæœŸå ±å‘Šæ›¸(10-Q)] $INTC Intel Corporationï½œç±³æ ªé€Ÿå ±ãƒãƒ³ @SokuhouMan #note https://t.co/E81lSABvHQ,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
84,"What ticker would you like to see the next due diligence with technical analysis on?

$DIDI $INTC $VICI $NIO $DUOâ€¦ https://t.co/3KB91g9kEA","{'neg': 0.0, 'neu': 0.889, 'pos': 0.111, 'compound': 0.3612}"
85,"RT @ARENAALFA: Antes de pandemia el NASDAQ estaba por los 9000 puntos

En Pandemia bajo a 6700

Hoy esta por los 12.300

Es que a pesar deâ€¦","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
86,"What ticker would you like to see the next due diligence with technical analysis on?

$APPL $SNDL $RDBX $AMD $DIDIâ€¦ https://t.co/PC5PHoa5gk","{'neg': 0.0, 'neu': 0.889, 'pos': 0.111, 'compound': 0.3612}"
87,"RT @OptionsProVol: Today Top Flow in #StockMarket, Buy Flow &amp; Sell Flow $FB $TSLA $BABA $SPY $XOM $GNR $MO $QQQ $IXJ $MNQM22 $HYG $VZ $BRK.â€¦","{'neg': 0.0, 'neu': 0.93, 'pos': 0.07, 'compound': 0.2023}"
88,Averaged down on $INTC too. https://t.co/x5bfc6CFBZ,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
89,RT @NorthmanTrader: Yesterday's rally following $AAPL $AMZN &amp; $INTC https://t.co/x8DCLJwqHK,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
90,"@faststocknewss $AMZN is an early stage SEARS. Basically, $AMZN (and  all  other big tech) is a utility company...$â€¦ https://t.co/E8jHmW3WVI","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
91,"Relative Strength on chips 

$NVDA, $AMD, $INTC","{'neg': 0.0, 'neu': 0.652, 'pos': 0.348, 'compound': 0.4939}"
92,"Short alert: 'Intel' $INTC broke resistance on 2022-04-29 of 45.56 USD
P/E: 8 | MarketCap: 184.24B | Float: 4.07B
Pâ€¦ https://t.co/UvY2hQUBsV","{'neg': 0.133, 'neu': 0.762, 'pos': 0.105, 'compound': -0.1531}"
93,"1/
Thoughts to end the week. 

Brutal close today, which is good for value investors. This week has been eventful.â€¦ https://t.co/ESzn4yKh2C","{'neg': 0.15, 'neu': 0.657, 'pos': 0.193, 'compound': 0.0516}"
94,"2022å¹´4æœˆã€æŠ•è³‡ãƒªã‚¿ãƒ¼ãƒ³ã€‘
å¹´åˆæ¥ -7.75%(ãƒ‰ãƒ«å»º)
è²·:  
ç„¡ã—
å£²:  
$INTC $UPS $GOOG
å††å»ºã¦+4.01%ã€‚å¾ã€…ã«å£²å´ã—CP73%ã¾ã§å¢—åŠ ã€‚è²·ã„ã®æ©Ÿä¼šã¯å½“åˆ†ã“ãªãã†ã ãŒã€å¼•ãç¶šããƒãƒ£ãƒ³ã‚¹ã‚’å¾…ã¡ãŸã„ã€‚","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
95,these are the most active stocks right now $AAPL  $F  $AMD  $DIDI  $VICI  $NIO  $INTC https://t.co/QqrYJUY9rE,"{'neg': 0.0, 'neu': 0.834, 'pos': 0.166, 'compound': 0.4576}"
96,Intel $INTC settled -6.9% to $43.59. M/t broken with the main market. https://t.co/oI3l5XzHB9,"{'neg': 0.205, 'neu': 0.795, 'pos': 0.0, 'compound': -0.4767}"
97,"~When I was novice I made a lot of mistakes then I came to know about this C0mmunity.,,.,https://t.co/UijPhsrts2â€¦ https://t.co/a70J0mT5ie","{'neg': 0.152, 'neu': 0.848, 'pos': 0.0, 'compound': -0.3612}"
98,"RT @Bullishcharts01: #Intel (#NASDAQ: $INTC) Flashing Super Strong #SupportArea! ğŸ”¦ [#TechnicalAnalysis]

  [ All Content Is For Informationâ€¦","{'neg': 0.0, 'neu': 0.634, 'pos': 0.366, 'compound': 0.8172}"
99,ğŸŸ¢ 3 Semiconductor Stocks Providing Better Value Than Intel https://t.co/F2I4zmGRHf $INTC,"{'neg': 0.0, 'neu': 0.569, 'pos': 0.431, 'compound': 0.6486}"
